,desc,desc,desc,desc,desc,MH,MH,MH,MH,MH,MH,MH,EQ,EQ,EQ,EQ,EQ,EQ,EQ,FU,FU,FU,FU,FU,FU,FU,PU,PU,PU,PU,PU,PU,PU,CF,CF,CF,CF,CF,CF,CF,Cyc,Cyc,Cyc,Cyc,Cyc,Cyc,Cyc
,full_name,wbinc,GDP,length,infra_value,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100
BRB,Barbados,HIC,4796845981.0,2745.2144030493973,2024246597.7768574,22011.998265214246,48708.900278365756,87361.63915162646,108567.85847926378,140079.87127673064,215665.36913041148,355443.42871061235,2767.5084481830954,6476.237767943114,9535.273673095711,11705.322383803097,15122.38944975737,24946.694762050145,40817.14664413052,249.8157268121682,541.457208072895,1008.2822595816641,1248.649312283726,1619.3728292408516,2470.8182671650543,4104.9608605491085,18611.846039852087,40466.94284489939,75305.55832270376,93044.3346531129,120691.03891877714,184483.21001844146,306720.31259694125,16.363136806486374,22.90839152908092,46.66524200368335,68.48275774566518,81.81568403243186,99.99694715075006,136.35947338738643,366.4649135604086,1201.3540659212752,1465.8596542416344,2501.06937231839,2565.2543949228602,3664.649135604087,3664.649135604087
BRN,Brunei,HIC,19048495519.0,5269.684992246981,4430040789.889396,278035.0860067325,586453.3374469433,1099017.799983741,1383589.0258325506,1790938.4267053606,2699066.4367634463,4462014.619018857,0.0,0.0,0.0,0.0,0.0,1147.839751455786,2662.6333989096815,36462.21615506067,80008.62978967557,148932.59894475565,186301.99909551447,243417.15841118622,371213.654307405,626217.7516232623,241098.6742068346,505739.4933665905,948709.2458883544,1195246.2261992022,1545109.1465593704,2323727.0791599345,3829148.317364193,453.62388952839916,635.0734453397587,1293.6681293958045,1898.4999821003366,2268.1194476419955,2772.145991562439,3780.1990794033254,20.57175530884989,70.14084533743384,82.28702123539956,142.30055573348602,144.00228716194925,205.71755308849896,205.71755308849896
BTN,Bhutan,LMC,2511852941.0,14223.717025793321,7329293631.871405,698585.9093933535,1530094.1399934017,2124070.1063234536,2448204.3175333403,3217319.020855056,5930616.504126606,11190505.74178699,9042.855224867219,27267.734683187726,41869.7930915338,48556.80546676018,63288.32452543443,132375.54273635152,229527.67306850827,236025.30283736667,547474.3039524548,809566.5151183814,950766.3879066703,1255580.2444681549,2354043.032377493,4692300.043081102,453517.7513311196,955352.1013577591,1272633.7981135384,1448881.1241599098,1898450.4518614665,3444197.929012761,6268678.025637381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,Botswana,UMC,17406530781.0,61405.433985563555,89978899998.42299,0.0,0.4241377792017602,1.5694944439328893,2.245494409013594,2.6108062396633906,767.8152879702446,5857.319880820564,0.0,0.4241377792017602,1.5694944439328893,2.245494409013594,2.6108062396633906,767.8152879702446,5857.319880820564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAF,Central African Republic,LIC,2195599557.0,32255.622848833496,3996043363.8210254,3870834.67232831,4515762.028188579,4992560.928837817,5159470.58543171,5868671.772930235,8002843.556754667,11928763.324007837,3918.5098351414836,10814.597896459109,15507.98022519109,18105.36526891908,24226.391447332764,44730.27607086303,72966.06939828456,2238962.4105481524,2511473.7935897666,2721975.169653748,2796359.5673662703,3166448.0872339625,4181967.240978215,6019395.686902405,1627953.751945016,1993473.6367023527,2255077.7789588785,2345005.6527965204,2677997.294248939,3776146.03970559,5836401.567707147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,Canada,HIC,1840000000000.0,1281616.579348821,15706893343219.404,14329527.029527405,29581009.962330375,54876052.66843369,69606226.42369322,89586326.07648565,136194689.46712384,224420295.8828559,601105.9994818696,1295576.4743254338,1925503.147147073,2321217.025771216,2997496.3438745216,4416445.121068825,7979038.752892207,7199367.741435438,14646987.722266696,27538366.75861977,34830280.08978815,44831867.00959461,68386983.52274232,112749520.21124692,5669797.553586453,11446501.751632744,21658611.886386342,27698036.809685588,35697985.06793164,53734782.82337577,87928358.21992362,733051.5005289153,1766752.0838734442,3242416.3633607347,3886494.6711493824,5164422.048725627,8370916.210209153,14416835.354634553,126204.23449472981,425191.93023205834,511154.5129197653,870197.8272988908,894555.6063592613,1285561.7897277717,1346543.3441585794
CCK,Cocos Islands,LMC,0.0,36.973746064299824,6813667.925589091,0.0,0.76118281703507,1.4503667343702364,2.1677983153023357,2.446761488347436,36.53029342744972,71.47517700076868,0.0,0.76118281703507,1.4503667343702364,2.1677983153023357,2.446761488347436,36.53029342744972,71.47517700076868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE,Switzerland,HIC,709000000000.0,112257.15797108122,574207404149.1709,4990221.149250814,9822324.81516447,18681744.620619334,23503285.088757,29914925.767226085,45377372.981802925,74260356.03225106,83555.43109519583,190909.31730893467,382614.74796187703,470527.80379817536,585417.0226253772,982948.811122566,3085155.3154393863,1026691.9146293823,1912342.284451705,3643574.589444742,4673440.618024228,5887022.063250495,8650859.119734507,13628761.92067488,3879973.8035262353,7719073.21340383,14655555.283212716,18359316.6669346,23442486.681350213,35743565.05094585,57546438.79613679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,Chile,HIC,278000000000.0,180967.01739372802,1004551447810.1268,32589289.47786581,68232487.8563394,109143800.94644684,130346973.97764319,158615725.22051165,258371034.87353733,436827399.97591233,29719979.415841933,61951631.80449198,97473174.36884615,115836782.99716945,139709823.29791743,229061881.77345783,387123341.44268966,1003501.3946557601,2239876.8523915787,4146965.9448585077,5115814.201181015,6682766.941672739,10461863.245243406,17896543.37988794,1837000.4431297614,3980416.0651265103,7410235.974868118,9252192.843972137,12039655.954209466,18571018.972497873,31353061.344906464,28808.224238354538,60563.13432931401,113424.65787406867,142183.93532059435,183479.02671198623,276270.882338229,454453.8084283106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,China,UMC,12200000000000.0,2828244.8889849754,70013132277878.02,724266081.6499693,1759172360.0335686,2737719398.918676,3093838540.382499,4166009856.153551,7280445367.691718,13353669231.583302,98509793.54095173,251593961.44432944,408643718.9915196,481904665.91259843,609950307.6983194,1081114233.32661,2021685540.8829217,262052313.9207213,692528547.7846184,1092988539.866844,1217318019.9790576,1682088768.0677152,2980729225.7767553,5475895783.690489,173490634.1380211,410473183.4781947,632203918.6851346,698531067.3481051,956625052.3981638,1685128984.012969,3059194463.3111315,187991730.6882272,395706643.17360055,592042551.0768069,673854072.3944896,891222765.3259934,1475533498.5033462,2682358050.8954506,2221609.3620480183,8870024.152825503,11840670.298370782,22230714.748248704,26122962.663359135,57939426.07203719,114535392.80331093
CIV,Côte d'Ivoire,LMC,40388624117.0,93200.33641844238,45958250337.8061,7812733.361068674,10706816.862768237,12795497.548590573,13492627.683386743,16273367.877381135,25179770.252580132,41668998.825716056,0.0,0.0,0.0,0.0,0.0,279.27042662206287,751.3326861673104,1898372.6063222566,3251302.07351037,4207469.040879229,4525176.27250263,5902070.775816574,10218323.70640935,18548232.036090694,5904129.479447514,7445283.513958962,8577797.232412439,8957220.135585207,10361065.826265655,14950936.000445254,23109784.181640293,10231.27529890378,10231.27529890378,10231.27529890378,10231.27529890378,10231.27529890378,10231.27529890378,10231.27529890378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,Cameroon,LMC,34942948737.0,117322.36863108333,74980438174.84123,13938456.718384568,17369839.97602375,20174752.711582683,21295859.443335645,24575478.551584836,35636880.21794043,55794012.0379928,67509.76883584913,163905.05016392827,246443.46202246583,278657.7984589683,376981.3898364484,646819.5505011971,1054928.4080951405,6315493.485036823,7815674.346474102,9084581.39103772,9650771.201399995,11122842.032108204,16254567.977009539,25861862.409947194,7554338.036861003,9389145.151734825,10842612.430871604,11365315.015825791,13074539.701989291,18734377.2627788,28876105.79229957,1115.427650891519,1115.427650891519,1115.427650891519,1115.427650891519,1115.427650891519,1115.427650891519,1115.427650891519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COD,Democratic Republic of the Congo,LIC,37917704900.0,303582.2337759176,438816079272.7717,30568888.232617483,40217475.97198548,48095501.06485445,51004442.835716605,59995399.98211967,89339275.15659712,140235189.8804293,962968.625348889,2355529.756586434,3591945.884511329,4099884.514558482,5359515.033243155,9322076.837478347,15092138.163105438,13564094.018170707,18315958.982847992,22167077.341328803,23595117.58436795,28058513.622677006,42698376.24173838,69035981.69822653,16021677.43834802,19525839.081801184,22316329.688264444,23289292.586040303,26557223.175449643,37298673.92663053,56086921.86834747,20148.150749870114,20148.150749870114,20148.150749870114,20148.150749870114,20148.150749870114,20148.150749870118,20148.150749870114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG,Republic of Congo,LMC,14425607180.0,33645.66837740053,59342951567.03746,4516528.129332035,6280283.608983062,7806991.293172418,8536646.243514212,10364845.87582644,16085540.044824935,26669103.99055704,297.37586194079313,297.37586194079313,594.7517238815863,594.7517238815863,892.1275858223795,1171.053044556982,2800.8206277546124,2482593.9586830703,3559696.7565115024,4461080.584465301,4880004.289208486,5975437.944091659,9487572.991349138,16148519.776804373,2025298.28405857,2711248.483292919,3334895.197294557,3644801.7769671804,4376136.859645113,6581908.110637531,10499066.617884314,8338.510728453668,9040.993316699361,10420.759688678201,11245.425614663749,12378.944503846253,14887.889793708737,18716.77524059926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COK,Cook Islands,LMC,183000000.0,351.1187944415855,66994994.13112983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,Colombia,UMC,380000000000.0,227588.91045243051,224419180419.41962,34167249.03731959,59684813.231755175,89046242.2337404,102087035.17306021,127440754.46779597,200981296.9223283,344523930.9185256,13750505.603153285,29201528.031443104,45327115.441993974,53057938.80472884,67730861.61337835,109268507.54953746,185558930.31536934,8306106.052497637,12959061.132214712,19125355.230295405,21611227.568794385,26644877.222970832,41553059.9938666,72941549.16015525,11655688.80697109,17020132.05214507,24013740.913021237,26777839.695237756,32330655.065442804,49257264.027840525,84713687.6870783,452645.2972162356,496110.51747344236,570659.8943670507,624051.1763758224,717960.8705934171,878847.5413604624,1284629.059277808,2303.2774813496562,7981.498478844357,9370.754062749267,15977.927923389028,16399.69541057428,23617.809723220053,25134.696644838456
COM,Comoros,LIC,648920942.7,1479.444992348804,719493941.2258726,18642.055921155472,39383.088288284205,58170.50477562576,68862.71687995702,89156.8915192771,149354.02624572985,256452.93288490284,80.46020164824841,139.91626820046474,253.20991545415654,325.3432118590424,353.92586291989306,892.7456543541385,1614.1496154492374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15372.087967336758,30395.74317545005,44737.14957442012,52767.59040304789,68250.01770331302,112325.3961806471,192474.35601272946,2918.0856926281303,7949.756340485705,12094.45704758215,13913.22822952308,18652.993536247846,33421.66381530528,59650.20666130078,271.4220595423345,897.6725041479885,1085.688238169338,1856.5550355270095,1899.9544167963415,2714.220595423348,2714.220595423348
CPV,Cape Verde,LMC,1864824081.0,3742.2071176057193,1457965658.9277902,0.0,0.0,0.0,0.0,0.0,33.34414227922839,72.33200441156426,0.0,0.0,0.0,0.0,0.0,33.34414227922839,72.33200441156426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI,Costa Rica,UMC,57057372468.0,47408.48346794336,20342245682.65867,13846339.09508036,20895209.299672212,30328478.433773536,34957066.04843209,42182452.3884487,63288793.543251,106316137.92046142,4660583.728665004,8984411.917797718,14426995.421090938,16996055.96256813,20846245.447818205,32973775.141256016,55996376.870643795,719908.9146754055,841246.7640224193,1043324.4975675956,1167874.7792028794,1363422.4799287668,1891959.265095234,3133894.194948946,8316820.274553738,10895025.688968679,14642497.152990827,16548737.803212618,19698057.104834843,28075534.831583545,46695918.974731915,147756.66557676232,170007.13756148113,210538.25972440478,235649.90833061002,265761.67635638744,334661.98154062463,476652.017882777,1269.511609452667,4517.791321916031,5123.102399769131,8747.595117852265,8965.679510495742,12862.323775572513,13295.862253972833
CUB,Cuba,UMC,87132800000.0,76384.75609387607,367669180405.0764,7943418.342137561,11471709.029060332,17137118.730582688,20519905.128730454,24734369.36108814,35814375.59330267,58089788.36445746,537211.0499966559,1149450.460459761,1876278.9289782615,2259349.7857319065,2832395.415927285,4780482.621098617,8413280.165086864,670231.4005640547,987648.8497728927,1492034.4192403257,1746287.2191978905,2150414.417781863,3182012.649748105,5258049.658407262,2644068.163658292,4021335.482328828,6185671.381229761,7276758.95702835,9003070.45355753,13604408.557349885,23172501.27811469,4045777.090645999,5152066.960220233,7381626.393276518,8915495.659165433,10395756.39863268,13565488.59051485,20087840.870520767,46130.637272560074,161207.2762786166,201507.6078578199,322013.50760687026,352732.6751887823,681983.1745912125,1158116.3923278768
CUW,Curaçao,HIC,3000000000.0,1942.0935867362516,1357749358.3751795,7439.839646324529,14034.925115255812,22359.357273545633,27361.80996690029,32289.46626850772,51254.175782731334,83579.87685991533,7392.0193368946675,13967.976682054006,22222.980835541955,27161.673116323465,32050.36472135841,50961.94055843774,83181.37428133315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.82030942986144,66.948433201806,136.37643800367886,200.13685057682744,239.10154714930712,292.23522429359764,398.50257858217867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXR,Christmas Island,LMC,0.0,92.40983502845408,148445426.30057445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYM,Cayman Islands,HIC,3207032513.0,1124.0508021936075,746908881.4677509,112549.43796052657,218337.01144049005,360093.07879997586,450601.0665656411,547494.5006102942,852185.1088386994,1394158.2982122577,88849.7993504193,171675.56817134816,271907.352576597,332124.6817508165,395236.6380728428,633587.6865292987,1037898.7348429869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778.2981780738587,3498.694762215264,6652.981187131377,8799.048727387933,11332.96994531914,16385.67949891997,26568.49666941882,21623.695891566822,42123.43001987692,80342.16687438113,107626.94358139735,138841.3808088662,199235.29740581487,322761.4447437501,297.6445404665901,1039.3184870497184,1190.5781618663605,2050.392506039285,2083.511783266131,2976.4454046659007,6929.621956101911
CYP,Cyprus,HIC,27839460964.0,13421.298461071137,12862687926.814945,70941.62840066056,162973.02362523405,301813.5153064647,364311.10600379447,486025.17728361057,910884.2659336152,1740582.9168373982,20921.145011746972,43664.24674846226,83432.3636754457,103529.92091218062,141999.28099371184,364798.8159364887,807198.513290151,8106.345732570586,23210.522782038046,41097.61600704616,45618.26487954626,62012.12225346768,105474.08277390755,188844.28390637855,15971.53074240596,34852.95125042418,65054.65807831232,82767.28297734846,108591.64019194455,164259.55489149707,275222.32733053504,25942.606913937045,61245.302844309575,112228.87754566052,132395.63723471915,173422.13384448653,276351.8123317218,469317.7923103335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,Czech Republic,HIC,236000000000.0,165192.94231446256,2056839845586.5786,1871916.8097509914,3531887.6987437867,6834731.362022569,8727948.842634728,11118222.69557525,16877332.890862964,27354978.05375765,4615.724837107454,9554.434950099765,41101.843846434786,51723.3988834089,63398.532339648096,103531.23025916133,747741.6205971783,502404.11399613135,1005220.7324312304,1927163.2578134178,2396352.443169058,3093919.977898201,4940839.433953098,8104939.317307373,1364896.9709177525,2517112.5313624567,4866466.260362717,6279873.000582261,7960904.185337402,11832962.226650706,18502297.115853097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU,Germany,HIC,3890000000000.0,1066526.756671909,11719146204298.934,28451329.096598305,59332487.01410432,110938164.90164033,140704228.40815783,181421558.77668357,275103211.00949347,458665781.7320374,449947.84388197854,882513.5367448081,1740299.7713626751,2147243.281680277,2657436.3115027356,3951783.653851151,13645071.98804174,7223477.27893346,15825244.662308665,29601690.44339255,36087629.03531102,47171821.51960993,75288728.14130908,125519450.25107905,8277721.928981237,16308928.817266263,31097372.202248976,39725199.96473706,50976463.029182464,76551800.77006485,122844922.43525702,12500182.044801628,26315799.99778459,48498802.48463612,62744156.12642947,80615837.91638844,119310898.44426842,196656337.05765966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJI,Djibouti,LMC,1844674435.0,3895.8387879874267,6878395116.784244,314178.0318544442,757119.6285280456,1156306.9800225403,1362046.1997169906,1741412.8421156316,2969749.1791412225,5067281.500942133,284766.14248205203,699283.643673745,1067296.4995570066,1268859.8452752568,1618691.431692541,2762933.696585818,4706634.412396466,7817.885163828288,16062.698585451673,24710.87187615396,25352.060083524568,33648.77068940734,57885.18157031356,102789.7947600002,15166.104023827684,28218.03389548084,42550.938808925464,45031.335943673155,58886.49752496007,97379.4517859418,168188.3132123486,6427.900184736158,13555.252373368174,21748.66978045435,22802.958414536224,30186.142208723086,51550.849199149445,89668.98057331867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,Dominica,UMC,581484037.0,1036.2831482254346,1018811738.0300783,65859.01979213196,151604.835179133,298653.7608015335,386825.1837504083,505320.2858297918,783063.7783413097,1393734.0700017626,497.9607645277489,1353.279720458013,2244.3729950142915,2838.3773785766853,3757.7992972515685,9183.240009489455,16348.065189237332,11710.282267418654,29202.828189816384,57422.13633216459,74016.24985461198,98705.57398935374,154446.17907891894,295991.8752804716,52886.77264564512,119307.84518029008,236206.83301971963,305660.6606723261,397863.03462388157,612585.1896494352,1072268.9747023536,481.649493094926,798.7515900027487,1650.9999688529638,2374.5960820100713,3017.3955691863293,4025.623389011032,6301.6086152447315,282.35462144551923,942.1304985657839,1129.418485782077,1935.2997628834737,1976.4823501186343,2823.546214455191,2823.546214455191
DNK,Denmark,HIC,353000000000.0,143675.92215221384,245105464439.0002,2840424.3992727697,5183132.879063596,9974691.678726472,13318300.59278104,16830802.038874432,23985624.80436687,37754199.79536453,0.0,0.0,0.0,0.0,0.0,3.8210820473544906,3163.2028955591886,134161.9295290712,243393.62306787338,472384.23400207027,606813.2533085307,763202.3073521601,1109182.3286241065,1692299.7555662433,316044.4902903374,609101.3601165346,1162819.390132258,1495008.012636696,1902310.8025683323,2788054.842513481,4426594.628825461,2390217.979453361,4330637.895879188,8339488.054592144,11216479.326835815,14165288.928953938,20088383.812147237,31632142.208077263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,Dominican Republic,UMC,75931656815.0,46883.74763701482,33167293073.24068,6028909.359995841,10107939.553118324,15806753.836778713,19097845.680633657,24125309.112293053,37998111.55548528,69615283.29506373,1532185.3310628282,3385860.068838738,5542645.100438441,6675710.748047622,8421426.050597966,14712220.875466168,25847531.32803446,1419247.8863061704,2204859.4770617504,3504966.3236922114,4316576.349461626,5582911.647401043,8362997.307049081,15285517.454125524,2866938.6572856423,4241567.475150681,6415872.90104191,7656450.426596697,9633924.939440452,14292821.299817191,27629849.894986704,189900.30238636708,206451.3298455052,259970.9744580015,307788.6366195039,341269.8692591694,389917.30405828403,492597.5848464411,20637.18295483258,69201.2022216499,83298.5371481496,141319.5199082089,145776.60559442194,240154.76909455584,359787.0330706155
DZA,Algeria,UMC,214000000000.0,328209.0113344367,692381282615.837,2035423.1527895976,4617793.639398727,7473485.918345133,8405745.973596577,11313113.48439469,19273991.01673206,34988138.72695668,246670.5501520847,646682.750936315,1015064.8520255756,1237729.2573547945,1626965.3867973888,2985076.1063688374,5856698.432342211,787510.9562853485,1814119.0765071972,3002189.8806448067,3343795.640160382,4553179.244373483,7735469.532275222,14089296.34743892,996218.2755739418,2141672.57363771,3430007.6553746024,3797111.3156691347,5095473.297377232,8485659.258693777,14918327.131484505,5023.370778222706,15319.238317504329,26223.53030014819,27109.7604122664,37495.55584658406,67786.11939421894,123816.81569104025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,Ecuador,UMC,103000000000.0,124950.02957814405,56496011051.76496,22396614.912181914,36104054.142943874,53023967.95655528,60656212.86622485,74955108.22574873,116062886.94958381,198788857.49299783,7567232.218370351,15758491.606655335,25169844.76585829,29453396.660748113,37416959.487114705,60626322.00881297,104188117.6088853,5102401.863500861,7296816.109948653,10284042.312503437,11612427.390119847,14123273.985129232,21210693.70428213,36760319.55122996,9541549.139845366,12847075.007174665,17338413.13710708,19335605.832849946,23121487.576132692,33870677.78048947,57325537.16195018,185431.69046533696,201671.41916522084,231667.74108646813,254782.98250693607,293387.17737210717,355193.4559992433,514883.1709323819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,Egypt,LMC,333000000000.0,245970.92094768054,850654409753.6866,18050646.324016385,41853773.9832854,75295741.4123758,94180253.36840677,124904091.69688594,197248832.36944258,343533336.11720353,70914.0695136936,173966.20122363436,287031.3981976063,358738.28724047163,452848.6864030844,949388.1206877424,2048053.0798829065,9263991.801591806,20219322.4434151,37142559.43602175,46923768.10629373,61884902.30222211,97352313.82311815,168776317.89525327,25646.010004213615,65100.18760903813,115640.82501650973,137321.31158624467,184585.567655054,298855.7083704899,515634.7623743701,8690094.44290667,21395385.151037622,37750509.75313993,46760425.663286336,62381755.140605696,98648274.71726619,172193330.37969297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERI,Eritrea,LIC,2607739837.0,12602.463114223456,7845562694.814451,164329.00603881615,243745.5643634577,307101.2637704661,329139.5632091276,402635.0819728888,641838.9621475034,1062431.7816701438,5623.78798629088,14389.34079718887,22582.312026740034,25946.96244311727,34812.41565483545,62971.43395681205,120024.44957786301,65614.24281110338,100819.62690167926,126787.71627807253,135468.8139147954,167280.19217623607,271503.6071628377,453559.4972899485,91503.78234522625,126298.53502742309,154305.36697703885,163846.80091716757,195893.9641081991,300431.5750954056,479062.38797292556,1587.1928961956698,2238.061637166484,3425.868488614665,3876.9859340473363,4648.510033618162,6932.345932447997,9785.44682940688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESH,Western Sahara,LIC,909000000.0,7307.8810390382505,18907187794.657013,308966.3172556625,971662.4357813791,1704182.19107369,1810718.9211594241,2496420.442868212,4439901.8281996,8054486.30832712,0.0,0.0,0.0,0.0,0.0,155.27337934032747,322.7864325494511,7957.389164532617,24678.87852285116,41543.96010506634,48657.19706743253,68535.37085410916,115697.02921290905,209743.60605603785,1540.70782828583,4176.138819112463,7457.379858620195,8411.41441940728,11318.34818182291,19003.700585794897,33422.43620669711,299468.22026284406,942807.4184394155,1655180.8511100034,1753650.3096725843,2416566.72383228,4305045.825021556,7810997.479631836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,Spain,HIC,1640000000000.0,607944.2873086414,7129026010874.726,6479079.013774155,14654210.224688053,27135961.92623839,32991486.50815051,43118680.03156997,69030277.01448257,121291727.62105897,77111.61034392731,157873.697537669,411220.13199982705,509496.5435419661,620193.4101702682,1035900.1154734578,4984978.02738053,1991401.151934131,4742282.545218987,8582580.829659749,10295337.510820938,13562201.263589364,22216025.321357023,38997519.95999157,4236629.569714073,9364581.711155072,17417824.65949875,21280963.296615697,27743602.9843902,43893529.82942766,74124127.94193712,173936.68178202328,389472.27077632403,724336.3050800638,905689.1571719088,1192682.3734201388,1884821.7482244319,3185101.6917497525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,Estonia,HIC,26224622451.0,65664.43093282777,401211740812.6988,341132.9812456164,558403.4084144351,1101906.8170083803,1523744.2236602537,1885109.3677004047,2532503.079689799,3777099.9749513073,0.0,0.0,0.0,0.0,0.0,563.4510055537778,3347.5944218479117,156097.0902039103,247237.51647917114,490900.22118762735,689414.030947541,847240.46719979,1115603.5528189687,1645885.291510191,161004.07042885723,264774.6996115597,522707.85395817115,721806.7580920319,895400.0966562886,1207914.519739738,1797519.625054836,24031.82061284888,46391.192323704236,88298.74186258185,112523.43462068065,142468.8038443262,208421.55612553845,330347.46396443225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,Ethiopia,LIC,80561496134.0,182203.92864827925,150656915890.53226,8628363.002764573,12804649.657181285,16540658.075996105,18739419.22356484,23251731.28265968,36332181.479459986,62485044.6095816,343981.55272357963,859561.7900290688,1379271.604863222,1599013.3776092797,2050769.8185889297,3781880.2410508203,6584598.769250285,4419554.754738095,6396828.225493021,8202605.037000108,9398650.949341696,11691668.546366388,18020186.7010249,31596948.79668064,3864826.6953028985,5548259.6416591965,6958781.434132776,7741754.896613868,9509292.91770436,14530114.537384268,24303497.04365067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,Finland,HIC,284000000000.0,282943.997582147,1786984406334.688,378462.61882349453,593135.7148445083,1185750.900539544,1635375.468962118,2002574.488224204,2705605.5589039433,3927874.8918557693,0.0,0.0,0.0,0.0,0.0,0.0,15570.773634811738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.1595365685396,3069.613261345807,6109.804670028684,8375.473110413634,10233.853216472982,13639.99299568552,19609.504708782657,376518.45928692596,590066.1015831626,1179641.0958695153,1626999.9958517044,1992340.635007731,2691965.565908258,3892694.613512175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJI,Fiji,UMC,5061202767.0,8505.351403163637,13427342949.842983,3757521.512268019,6193322.191973141,9666544.43966506,11493867.984640956,13672901.428577302,21288384.522146523,35471568.32436713,1655266.8759735306,3108433.7797132656,5189175.629503724,6224199.993948084,7136719.309043789,11679940.07769134,19601085.786274012,222550.43297697563,339719.4476786381,489230.17555722746,564304.3435399744,711580.1186734424,1113209.78437899,1914884.7944650303,1026363.0530885264,1484823.8393385462,2124562.273776868,2491768.0701640407,3105598.7846081434,4566390.80102084,7778784.06866117,851663.3514477668,1254284.1090511354,1856565.0445045063,2201895.872031818,2706731.745347152,3910952.08813111,6156034.07118332,1677.7987812200522,6061.016191556251,7011.316322735165,11699.704957038042,12271.470904774624,17891.77092424003,20779.603783599938
