,desc,desc,desc,desc,desc,MH,MH,MH,MH,MH,MH,MH,EQ,EQ,EQ,EQ,EQ,EQ,EQ,FU,FU,FU,FU,FU,FU,FU,PU,PU,PU,PU,PU,PU,PU,CF,CF,CF,CF,CF,CF,CF,Cyc,Cyc,Cyc,Cyc,Cyc,Cyc,Cyc
,full_name,wbinc,GDP,length,infra_value,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100
ASM,American Samoa,UMC,678000000.0,553.8597783254735,193039712.17780277,1750.272744074494,4640.317000048643,6825.479235386502,8001.007764142545,10689.265096807643,18826.784974823295,30622.790719036784,1734.4798399151894,4581.800418764398,6762.307618749283,7892.784952703899,10578.71476769251,18668.855933230247,30464.861677443736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.792904159304726,58.516581284245035,63.171616637218904,108.22281143864618,110.55032911513308,157.92904159304726,157.92904159304726
ATG,Antigua and Barbuda,HIC,1532397556.0,1601.3683547678222,2044136060.2749414,65178.06260838661,118230.60732616382,195472.02015424523,246284.78288111745,294077.61177971715,445264.066669308,712784.555857079,50650.306093792606,95553.74935339649,150326.51384253058,181749.52484872483,214769.62661055962,342569.51212744444,562234.5566240746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8479.685921742755,14116.025497068536,27753.189643566002,39126.46612862417,48891.43455178215,65278.45559491946,99172.32315103967,6048.070592851249,8560.832475698793,17392.316668148644,25408.791903768473,30416.550617375437,37416.09894694413,51377.67608196476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,Australia,HIC,1570000000000.0,1076440.9722706426,10033468260582.52,15663988.071020188,34641944.72185556,64142239.38254643,80861793.65499385,106046894.99611503,163969289.42782146,276696291.04735005,370591.9919145448,785674.5146882316,1251119.8473676862,1512000.0569928181,1873875.278319466,3080630.8517428064,5782499.416820935,7302630.763890791,17353741.05722927,32001511.94202091,39784624.99064982,53260791.31839146,84172092.96062715,145410574.16631943,6785538.643790767,13448061.576694446,25548638.345744614,33005415.074489277,42380379.480817325,62719883.10890449,101693380.41227692,1083346.5952413252,2637189.3817255814,4833944.991615639,5717191.709007112,7639741.414448997,12663781.42773627,22140263.357118774,121880.07618276103,417278.19151802774,507024.255797588,842561.8238548173,892107.5041377974,1332901.0788107195,1669573.6948139407
AUT,Austria,HIC,442000000000.0,192176.97267660106,1296936818173.4678,4364434.500616691,8988383.538444161,16935818.793738097,21167915.6403607,27150766.205996785,41961593.07845104,72507024.65932539,280905.6540828448,598028.9217461396,1163066.7914289092,1434459.9320002736,1766467.5835615199,2928664.0513377083,8582921.932271121,660840.4850365871,1530884.1074236787,2802644.1509167943,3341985.538361123,4378869.911156457,7132379.3835763745,12131918.333770894,3422688.3614972592,6859470.509274343,12970107.851392394,16391470.169999305,21005428.711278807,31900549.64353696,51792184.39328337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,Azerbaijan,UMC,75244294275.0,68577.5675747026,595470698506.5157,5641029.19798997,8614199.852420367,17206788.642718934,23279273.867596656,28168071.72817756,37603430.379232615,59978953.0033272,1984938.4552741782,3142186.304999413,5440428.591224091,6550398.268577059,7186504.430818856,11421090.284845876,20130292.020305637,2480213.3984524515,3709147.430680896,7979489.936963829,11303243.137754861,14162259.61642187,17527993.124846194,26631136.432148844,1175877.3442633417,1762866.1167400577,3786870.114531013,5425632.461264738,6819307.680936833,8654346.96954054,13217524.55087272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,Burundi,LIC,3477502178.0,36278.59255106984,9017692686.337385,1361044.3379960093,2248392.160987497,2921722.065055422,3246819.8217955492,4156104.6724296957,6912305.307599474,12142678.920329755,87429.6621353826,233135.283990497,362590.00022073515,414699.8823620307,549311.642508029,1033895.0248001402,1762451.1152565717,374001.4263888768,596004.5984602886,753687.4906363188,813963.1690633186,1021286.9530125952,1682259.0997235316,2923203.892751113,899613.24947175,1419252.2785367114,1805444.574198368,2018156.7703701996,2585506.0769090713,4196151.183075802,7457023.91232207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,Belgium,HIC,531000000000.0,134289.87834734176,3986023480318.256,4968300.320299528,10533519.64902373,19358242.85478116,23730352.94243221,30616194.78156343,47632977.400407545,80627715.42805286,153457.64000252687,298991.73393635615,512386.51043850195,623081.139151302,784670.6228735553,1086356.5217212,2918524.85171541,449336.5729596658,996415.2962906071,1862127.3651033721,2271817.6129477946,2957411.346067818,4927152.912778241,8624347.70187013,971939.5548898386,1837803.5494831286,3535475.125870465,4528762.212582406,5754389.689265031,8570847.964777092,13549906.355165504,3393566.5524474964,7400309.069313639,13448253.853368819,16306691.977750707,21119723.123357024,33048620.001131013,55534936.51930182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,Benin,LIC,9707432016.0,58424.176514899875,45850488401.33711,2938501.1106981444,4240248.228741426,5384475.973697124,5932147.419879742,7320050.69453259,11185049.136508856,18685521.67747993,0.0,0.0,0.0,0.0,0.0,134.7519756384538,331.07537587770094,1297941.8999340136,2065233.6769065927,2808786.558832937,3161466.354095097,4006315.5048539294,6277093.270879805,10788735.847172024,1632769.4944214695,2167224.8354921723,2567899.698521525,2762891.349441983,3305945.4733359995,4900031.397310751,7888665.038589368,7789.7163426611605,7789.71634266116,7789.7163426611605,7789.7163426611605,7789.7163426611605,7789.7163426611605,7789.7163426611605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BES,"Bonaire, Sint Eustatius and Saba",UMC,415000000.0,633.342013921641,132146799.60591264,26028.05801489438,31324.03095831209,44665.27495666738,52512.97655481025,65274.74779760423,94278.4910852791,163687.77357200184,1134.5013826845945,3164.6586715313438,8837.471501547649,9806.625135121236,12967.369406086069,28880.62627064963,62862.506252305444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16539.992948137467,18711.64449317627,23720.9177262463,28208.76768970566,34656.486037964685,43447.57776722774,67377.05881123741,8353.56368407232,9447.727793604476,12106.885728873429,14497.58372998336,17650.892353553474,21950.28704740174,33448.20850845896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,Burkina Faso,LIC,12873114800.0,71113.01398965539,49469835326.21632,2732549.3002318013,3910015.090859346,4911905.272554856,5438494.923817707,6653446.784232118,10182784.576879594,16773577.647447664,0.0,0.0,0.0,0.0,0.0,5.153066900067163,57.332220440427875,1340860.9823585814,1898485.6366242277,2384422.779046182,2652693.481315287,3240557.1831115293,4927575.142439277,8143069.166144955,1391688.3178732197,2011529.4542351183,2527482.4935086737,2785801.4425024204,3412889.601120589,5255204.281373417,8630451.149082268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
